eventID,volume,particle,energy_MeV,x_mm,y_mm,z_mm
47,Phantom,gamma,0.74263,1.14971,0.401408,-365
47,Scint1,gamma,0.74263,1.46572,0.740905,-202.5
47,DWC1,gamma,0.74263,1.76229,1.05951,-50
47,DWC2,gamma,0.74263,2.24847,1.58181,200
47,Scint2,gamma,0.74263,3.02149,2.41228,597.5
47,Collimator,gamma,1.0351,-18.1381,57.8828,-575
mma,2.76241,-5.69424,6.83691,-365
43,Scint1,gamma,2.76241,-8.07007,9.71073,-202.5
43,DWC1,gamma,2.76241,-10.2997,12.4077,-50
43,DWC2,gamma,2.76241,-13.9548,16.829,200
43,Scint2,gamma,2.76241,-19.7665,23.8588,597.5
43,Phantom,gamma,0.941949,-10.6615,-1.90745,-365
43,Scint1,gamma,0.941949,-15.1306,-2.70463,-202.5
43,DWC1,gamma,0.941949,-19.3246,-3.45276,-50
43,DWC2,gamma,0.941949,-26.2001,-4.6792,200
43,Scint2,gamma,0.941949,-37.1321,-6.62924,597.5
43,Collimator,e+,50.7404,-Phanto,gamma,0.283465,8.03435,5.95393,-554.651
27,Collimator,gamma,0.441433,2.86382,9.58116,-550.732
27,Collimator,e+,1.50047,0.128071,9.99918,-545.094
27,Collimator,e+,1.0216,9.58391,2.85459,-552.334
27,Collimator,e+,0.989492,9.59266,2.82504,-552.365
27,Collimator,e+,0.946256,9.01133,-4.33544,-555.147
27,Collimator,e+,0.899585,1.47673,-9.89036,-567.56
27,Collimator,gamma,0.510999,-2.8914,-9.57287,-564.256
27,Collimator,gamma,0.245821,-8.5888,-5.12177,-555.479
27,Collimator,gamma,0.16568,0.327973,9.99462,-561.629
27,Collimator,gamma,42.8962,6.66414,-7.45581,-547.77
27,Phantom,gamma,64.6049,6.87044,-13.3418,-365
27,Scint1,gamma,64.6049,9.75354,-18.9336,-202.5
27,DWC1,gamma,64.6049,12.4592,-24.1814,-50
27,DWC2,gamma,64.6049,16.8948,-32.7842,200
27,Scint2,gamma,64.6049,23.9473,-46.4627,597.5
27,Phantom,gamma,98.7717,-3.48831,0.844313,-365
27,Scint1,gamma,98.7717,-4.9594,1.21534,-202.5
