eventID,volume,particle,energy_MeV,theta_deg,phi_deg
27,Phantom,gamma,4.49508,1.86984,-150.431
27,Scint1,gamma,4.49508,1.86984,-150.431
27,DWC1,gamma,4.49508,1.86984,-150.431
27,DWC2,gamma,4.49508,1.86984,-150.431
27,Scint2,gamma,4.49508,1.86984,-150.431
27,Collimator,gamma,1.32047,3.38172,-172.926
27,Collimator,gamma,0.412455,78.2887,-12.0735
27,Collimator,gamma,22.7181,14.7315,83.9853
27,Collimator,gamma,17.423,10.4381,102.751
27,Collimator,gamma,2.96204,9.21714,112.598
27,Collimator,gamma,0.570853,7.15141,93.2753
27,Collimator,gamma,0.505971,13.022,170.045
27,Collimator,gamma,0.337301,17.1816,168.675
27,Phantom,gamma,2.22909,0.136398,98.474
27,Scint1,gamma,2.22909,0.136398,98.474
27,DWC1,gamma,2.22909,0.136398,98.474
27,DWC2,gamma,2.22909,0.136398,98.474
27,Scint2,gamma,2.22909,0.136398,98.474
27,Cherenkov,gamma,0.503834,166.545,-87.5288
27,Collimator,gamma,10.3489,11.5824,108.414
27,Collimator,gamma,2.75157,16.5895,132.1
27,Collimator,gamma,0.455437,16.4992,-118.441
27,Collimator,gamma,0.494436,9.86956,-120.075
27,Collimator,gamma,0.223087,5.81134,144.022
27,Collimator,gamma,0.760175,10.2174,-165.045
27,Collimator,gamma,68.2536,16.4285,14.8678
27,Collimator,gamma,36.3363,3.39602,9.98371
27,Collimator,gamma,0.510999,45.0933,-155.021
27,Collimator,gamma,12.0008,2.85967,-47.5957
27,Phantom,gamma,12.0008,2.85967,-47.5957
27,Scint1,gamma,12.0008,2.85967,-47.5957
27,DWC1,gamma,12.0008,2.85967,-47.5957
27,DWC2,gamma,12.0008,2.85967,-47.5957
27,Scint2,gamma,12.0008,2.85967,-47.5957
27,Collimator,gamma,63.6552,3.36714,-49.6997
27,Collimator,gamma,0.510999,65.91,110.605
27,Collimator,gamma,5.34146,49.9323,81.1038
27,Collimator,gamma,4.31393,33.297,85.5453
27,Collimator,gamma,3.75812,17.8061,76.2443
27,Collimator,gamma,0.283465,133.11,88.5941
27,Collimator,gamma,0.441433,115.218,103.321
27,Collimator,gamma,0.510999,50.2234,174.571
27,Collimator,gamma,0.245821,126.287,163.58
27,Collimator,gamma,0.16568,108.749,58.7209
27,Collimator,gamma,42.8962,2.80153,-48.0244
27,Phantom,gamma,64.6049,2.21715,-62.7248
27,Scint1,gamma,64.6049,2.21715,-62.7248
27,DWC1,gamma,64.6049,2.21715,-62.7248
27,DWC2,gamma,64.6049,2.21715,-62.7248
27,Scint2,gamma,64.6049,2.21715,-62.7248
27,Phantom,gamma,98.7717,0.534916,165.844
27,Scint1,gamma,98.7717,0.534916,165.844
27,DWC1,gamma,98.7717,0.534916,165.844
27,DWC2,gamma,98.7717,0.534916,165.844
27,Scint2,gamma,98.7717,0.534916,165.844
27,Phantom,gamma,18.2229,0.190308,-116.948
27,Scint1,gamma,18.2229,0.190308,-116.948
27,DWC1,gamma,18.2229,0.190308,-116.948
27,DWC2,gamma,18.2229,0.190308,-116.948
27,Scint2,gamma,18.2229,0.190308,-116.948
27,Collimator,gamma,0.331054,19.1882,96.3318
27,Collimator,gamma,0.258849,21.9638,145.279
27,Collimator,gamma,0.693304,4.5385,34.5317
27,Collimator,gamma,17.4898,8.08672,63.1314
27,Collimator,gamma,24.1405,10.4427,74.6455
27,Collimator,gamma,3.36777,9.3516,76.0856
27,Collimator,gamma,1.46507,3.12671,74.8885
27,Collimator,gamma,0.318024,104.201,-29.3919
27,Collimator,gamma,11.5079,4.03644,118.145
27,Collimator,gamma,0.510999,17.209,-81.9471
27,Collimator,gamma,6.86129,8.94771,-150.133
27,Collimator,gamma,1.11692,8.12705,98.5968
27,Collimator,gamma,1.41746,7.89369,82.3087
27,Collimator,gamma,11.0404,5.89962,77.4056
27,Collimator,gamma,1.30888,11.3787,121.384
27,Collimator,gamma,24.4763,3.64442,122.824
27,Collimator,gamma,0.285478,118.358,-22.5393
27,Phantom,gamma,55.0544,2.00281,104.249
27,Scint1,gamma,55.0544,2.00281,104.249
27,DWC1,gamma,55.0544,2.00281,104.249
27,DWC2,gamma,55.0544,2.00281,104.249
27,Scint2,gamma,55.0544,2.00281,104.249
27,Collimator,gamma,4.30057,19.2051,-43.9064
27,Collimator,gamma,21.8158,14.8947,-43.3727
27,Collimator,gamma,10.1286,17.3804,-41.7948
27,Collimator,gamma,2.13823,21.6425,-29.6394
27,Collimator,gamma,0.352498,5.65077,44.0321
27,Collimator,gamma,33.5091,4.30622,-25.3785
27,Collimator,gamma,0.960596,116.762,179.951
27,Collimator,gamma,0.470593,103.814,-173.439
27,Collimator,gamma,2.77187,3.85381,14.9953
27,Collimator,gamma,0.510999,108.738,147.915
27,Phantom,gamma,5.58857,2.46719,-44.158
27,Scint1,gamma,5.58857,2.46719,-44.158
27,DWC1,gamma,5.58857,2.46719,-44.158
27,DWC2,gamma,5.58857,2.46719,-44.158
27,Scint2,gamma,5.58857,2.46719,-44.158
27,Phantom,gamma,2.14621,0.447364,32.3971
27,Scint1,gamma,2.14621,0.447364,32.3971
27,DWC1,gamma,2.14621,0.447364,32.3971
27,DWC2,gamma,2.14621,0.447364,32.3971
27,Scint2,gamma,2.14621,0.447364,32.3971
27,Phantom,gamma,1.20463,0.220144,69.9414
27,Scint1,gamma,1.20463,0.220144,69.9414
27,DWC1,gamma,1.20463,0.220144,69.9414
27,DWC2,gamma,1.20463,0.220144,69.9414
27,Scint2,gamma,1.20463,0.220144,69.9414
27,Phantom,gamma,1.95316,0.483352,28.5454
27,Scint1,gamma,1.95316,0.483352,28.5454
27,DWC1,gamma,1.95316,0.483352,28.5454
27,DWC2,gamma,1.95316,0.483352,28.5454
27,Scint2,gamma,1.95316,0.483352,28.5454
27,Collimator,gamma,3.34784,21.5969,-44.5748
27,Phantom,gamma,15.1496,0.157234,-75.9074
27,Scint1,gamma,15.1496,0.157234,-75.9074
27,DWC1,gamma,15.1496,0.157234,-75.9074
27,DWC2,gamma,15.1496,0.157234,-75.9074
27,Scint2,gamma,15.1496,0.157234,-75.9074
ma,12.9441,1.61359,-86.88
43,DWC2,gamma,12.9441,1.61359,-86.8
1,
