eventID,volume,energy_MeV,x_mm,y_mm,z_mm
94,Scint2,7.45678,-19.2698,29.7042,597.5
94,Collimator,3.13852,-51.9495,-47.5823,-575
94,Phantom,1.84135,1.53995,9.75335,-365
94,Scint1,1.84135,2.11416,13.8317,-202.5
94,DWC1,1.84135,2.65304,17.6591,-50
94,DWC2,1.84135,3.53643,23.9335,200
94,Scint2,1.84135,4.94104,33.9098,597.5
94,Phantom,3.64276,2.73878,3.72106,-365
94,Scint1,3.64276,3.81662,5.26489,-202.5
94,DWC1,3.64276,4.82813,6.71371,-50
94,DWC2,3.64276,6.48634,9.08882,200
94,Scint2,3.64276,9.12291,12.8653,597.5
94,Collimator,1.57685,10.0297,-46.9909,-575
94,Collimator,1.73808,-33.5637,-38.6687,-575
94,Collimator,0.869604,-35.5124,-29.8613,-575
94,Collimator,2.79249,-0.790609,-24.386,-575
94,Phantom,2.23485,-31.6858,-10.4781,-365
94,DWC1,2.23485,-87.8294,24.9502,-50
94,Collimator,1.27889,-2.73758,-30.5128,-575
94,Collimator,3.52515,0.553569,31.316,-575
94,Collimator,0.978352,-3.4103,27.8605,-575
94,Collimator,7.55241,21.9472,18.7261,-575
94,Collimator,1.02366,12.4192,20.2033,-575
94,Collimator,12.2314,7.76032,17.8304,-575
94,Scint1,0.431438,-2.98127,26.1827,-202.5
94,DWC1,0.431438,3.43271,61.9732,-50
94,Cherenkov,6.23257,-28.9476,2.5088,-850
94,Collimator,0.289145,36.185,7.93667,-575
94,Phantom,2.70155,13.1806,5.26062,-365
94,Scint1,2.70155,18.652,7.44777,-202.5
94,DWC1,2.70155,23.7868,9.50032,-50
94,DWC2,2.70155,32.2044,12.8652,200
94,Scint2,2.70155,45.5884,18.2153,597.5
94,Collimator,10.2142,1.5899,-16.5863,-575
95,Phantom,5.44155,-13.3708,39.4967,-365
95,Collimator,2.48126,5.36908,23.6408,-575
95,Collimator,31.3681,-1.97579,11.8642,-575
95,Collimator,1.79176,-8.07938,5.89267,-566.722
95,Phantom,1.07709,7.58865,7.32338,-365
95,Scint1,1.07709,10.7949,10.4577,-202.5
95,DWC1,1.07709,13.8038,13.3991,-50
95,DWC2,1.07709,18.7365,18.2211,200
95,Scint2,1.07709,26.5795,25.888,597.5
95,Phantom,3.14477,8.69015,8.88895,-365
95,Scint1,3.14477,12.3622,12.6852,-202.5
95,DWC1,3.14477,15.8082,16.2479,-50
95,DWC2,3.14477,21.4575,22.0884,200
95,Scint2,3.14477,30.4399,31.3747,597.5
95,Phantom,9.07472,-10.6105,0.321979,-365
95,Scint1,9.07472,-15.0984,0.492879,-202.5
95,DWC1,9.07472,-19.3101,0.653262,-50
95,DWC2,9.07472,-26.2145,0.916185,200
95,Scint2,9.07472,-37.1926,1.33423,597.5
95,Scint1,2.89399,10.3945,37.2215,-202.5
95,DWC1,2.89399,15.4531,62.0577,-50
95,Collimator,67.5982,-6.05414,9.38407,-575
95,Collimator,0.504238,9.25633,-3.78423,-534.845
95,Phantom,24.6918,-22.5559,13.0244,-365
95,Scint1,24.6918,-37.0241,14.2951,-202.5
95,DWC1,24.6918,-50.602,15.4875,-50
95,DWC2,24.6918,-72.8608,17.4424,200
95,Phantom,5.84722,-47.8588,25.6184,-365
95,Phantom,2.54348,2.32263,-0.521932,-365
95,Scint1,2.54348,3.29283,-0.700075,-202.5
95,DWC1,2.54348,4.20333,-0.867256,-50
95,DWC2,2.54348,5.69594,-1.14132,200
95,Scint2,2.54348,8.06919,-1.57709,597.5
95,Collimator,1.33018,3.55973,15.4876,-575
95,Phantom,0.459448,-21.5183,38.0801,-365
95,Collimator,3.29507,-3.7541,-17.7687,-575
95,Collimator,0.711368,-22.5906,-23.2926,-575
95,Phantom,33.2747,10.7786,-8.25224,-365
95,Scint1,33.2747,15.3144,-11.7518,-202.5
95,DWC1,33.2747,19.5711,-15.0359,-50
95,DWC2,33.2747,26.5493,-20.4198,200
95,Scint2,33.2747,37.6445,-28.9802,597.5
95,Collimator,6.18803,2.61699,-9.6515,-539.265
95,Collimator,0.211642,-9.7176,2.35973,-527.307
95,Collimator,0.44883,-2.56832,9.66456,-531.096
95,Collimator,1.36201,-8.81691,10.0775,-575
95,Phantom,107.988,0.925182,-6.34075,-365
95,Scint1,107.988,1.29282,-8.9805,-202.5
95,DWC1,107.988,1.63784,-11.4578,-50
95,DWC2,107.988,2.20344,-15.519,200
95,Scint2,107.988,3.10275,-21.9762,597.5
95,Phantom,0.613456,3.69729,3.03439,-365
95,Scint1,0.613456,5.23013,4.34172,-202.5
95,DWC1,0.613456,6.66864,5.5686,-50
95,DWC2,0.613456,9.02685,7.57989,200
95,Scint2,0.613456,12.7764,10.7778,597.5
95,Cherenkov,0.804397,7.01435,-14.1771,-850
95,Collimator,2.37328,56.2848,9.41705,-575
95,Collimator,1.87712,53.027,13.6691,-575
95,Collimator,0.311178,2.04919,9.78779,-572.222
95,Collimator,0.344866,3.58288,9.33611,-552.753
95,Collimator,0.517459,12.018,-0.355559,-575
95,Phantom,1.65648,12.4043,-7.85391,-365
95,Scint1,1.65648,17.5997,-11.1242,-202.5
95,DWC1,1.65648,22.4754,-14.1933,-50
95,DWC2,1.65648,30.4683,-19.2246,200
95,Scint2,1.65648,43.1771,-27.2243,597.5
95,Collimator,1.31467,-19.9087,-49.4559,-575
95,Collimator,1.02443,46.5265,20.98,-575
95,BremsTarget,0.140227,9.13805,-4.01934,-745.625
95,Collimator,0.436121,-41.9271,8.68925,-575
95,Collimator,0.358823,-34.8696,-0.835338,-575
95,Collimator,4.09852,-31.3862,13.5201,-575
95,Collimator,27.1593,9.89251,-1.46226,-568.752
95,Collimator,0.510999,-8.58549,5.12731,-547.535
95,Collimator,0.235215,55.4941,52.7999,-575
95,Collimator,4.28381,37.9285,36.5979,-575
95,Collimator,8.46566,33.3912,25.8987,-575
95,Phantom,0.510999,-16.879,-43.5332,-365
95,Collimator,0.83524,9.9816,0.606332,-532.56
95,Phantom,3.04946,-38.0178,-32.7617,-365
95,DWC1,3.04946,-89.1085,-87.9157,-50
95,Phantom,23.4025,-3.11767,-31.1089,-365
95,DWC1,23.4025,9.62144,-84.4497,-50
95,Phantom,14.7118,-15.4791,0.270704,-365
95,Scint1,14.7118,-20.7585,2.58829,-202.5
95,DWC1,14.7118,-25.7129,4.76325,-50
95,DWC2,14.7118,-33.835,8.32877,200
95,Scint2,14.7118,-46.7491,13.9979,597.5
95,Phantom,0.845078,-15.1632,-3.40527,-365
95,Scint1,0.845078,-21.6851,-4.82174,-202.5
95,Phantom,6.54143,9.33657,1.06666,-365
95,Scint1,6.54143,13.2579,1.5523,-202.5
95,DWC1,6.54143,16.9379,2.00805,-50
95,DWC2,6.54143,22.9707,2.75518,200
95,Scint2,6.54143,32.5629,3.94312,597.5
95,Phantom,0.280334,4.4238,-6.201,-365
95,Scint1,0.280334,6.25509,-8.80509,-202.5
95,DWC1,0.280334,7.9737,-11.2489,-50
95,DWC2,0.280334,10.7911,-15.2552,200
95,Scint2,0.280334,15.2707,-21.6252,597.5
95,Phantom,5.35532,0.0417892,0.34823,-365
95,Scint1,5.35532,0.0500112,0.530104,-202.5
95,DWC1,5.35532,0.0577272,0.700785,-50
95,DWC2,5.35532,0.0703764,0.98059,200
95,Scint2,5.35532,0.0904886,1.42548,597.5
548.812
83,Collimator,0.462964,-2.8394,45.9328,-575
83,Phantom,6.18246,-1.28385,-1.17137,-365
83,Scint1,6.18246,-1.80467,-1.63274,-202.5
83,DWC1,6.18246,-2.29345,-2.06572,-50
83,DWC2,6.18246,-3.09472,-2.77553,200
83,Scint2,6.18246,-4.36874,-3.90412,597.5
,0.238099,-31.4073,-36.735,-202.5
97,DWC1,0.238099,-42.8287,-50.6774,-50
97,DWC2,0.238099,-61.5525,-73.5338,200
97,Phantom,142.576,-4.95783,-10.6489,-365
97,Scint1,142.576,-7.08405,-15.202,-202.5
97,DWC1,142.576,-9.07943,-19.4749,-50
97,DWC2,142.576,-12.3505,-26.4798,200
97,Scint2,142.576,-17.5516,-37.6175,597.5
97,Phantom,40.5395,-8.42569,-9.25558,-365
97,Scint1,40.5395,-12.0321,-13.2141,-202.5
97,DWC1,40.5395,-15.4166,-16.9289,-50
97,DWC2,40.5395,-20.965,-23.0189,200
97,Scint,,10.0664,-575
