eventID,volume,particle,energy_MeV,x_mm,y_mm,z_mm,process,fromVolume
41,Collimator,gamma,0.626746,-5.7096,8.20978,-559.501,Transportation,World
41,Collimator,gamma,9.88629,16.1305,-3.06544,-575,Transportation,World
41,Collimator,gamma,4.4031,-2.41087,9.70504,-544.362,Transportation,World
41,Phantom,gamma,25.9261,2.19804,-7.12381,-365,Transportation,World
41,Scint1,gamma,25.9261,3.14328,-10.0957,-202.5,Transportation,World
41,DWC1,gamma,25.9261,4.03036,-12.8847,-50,Transportation,World
41,DWC2,gamma,25.9261,5.48459,-17.4569,200,Transportation,World
41,Scint2,gamma,25.9261,7.79681,-24.7267,597.5,Transportation,World
41,Collimator,gamma,16.5025,5.40158,49.5547,-575,Transportation,World
41,Collimator,gamma,2.69355,49.9231,49.256,-575,Transportation,World
41,Collimator,gamma,27.3028,-25.3649,-6.93927,-575,Transportation,World
41,Phantom,gamma,1.71327,-46.1013,-45.2661,-365,Transportation,World
41,Collimator,gamma,11.0731,-1.01674,11.7644,-575,Transportation,World
41,Collimator,gamma,0.247845,7.70366,-6.37603,-568.755,Transportation,World
41,Collimator,gamma,1.28456,-24.3636,-13.872,-575,Transportation,World
41,Phantom,gamma,15.1775,-2.26445,-0.172377,-365,Transportation,World
41,Scint1,gamma,15.1775,-3.20495,-0.212587,-202.5,Transportation,World
41,DWC1,gamma,15.1775,-4.08756,-0.250322,-50,Transportation,World
41,DWC2,gamma,15.1775,-5.53448,-0.312183,200,Transportation,World
41,Scint2,gamma,15.1775,-7.83507,-0.410543,597.5,Transportation,World
41,Phantom,gamma,102.737,-1.20986,-0.135368,-365,Transportation,World
41,Scint1,gamma,102.737,-1.70746,-0.159961,-202.5,Transportation,World
41,DWC1,gamma,102.737,-2.17445,-0.183039,-50,Transportation,World
41,DWC2,gamma,102.737,-2.94,-0.220873,200,Transportation,World
41,Scint2,gamma,102.737,-4.15723,-0.28103,597.5,Transportation,World
41,Phantom,gamma,2.43605,-1.72033,0.293924,-365,Transportation,World
41,Scint1,gamma,2.43605,-2.43222,0.449538,-202.5,Transportation,World
41,DWC1,gamma,2.43605,-3.1003,0.595575,-50,Transportation,World
41,DWC2,gamma,2.43605,-4.19552,0.834981,200,Transportation,World
41,Scint2,gamma,2.43605,-5.93692,1.21564,597.5,Transportation,World
41,Phantom,gamma,275.553,-1.42546,-0.244807,-365,Transportation,World
41,Scint1,gamma,275.553,-2.0136,-0.315252,-202.5,Transportation,World
41,DWC1,gamma,275.553,-2.56555,-0.381361,-50,Transportation,World
41,DWC2,gamma,275.553,-3.47037,-0.489737,200,Transportation,World
41,Scint2,gamma,275.553,-4.90905,-0.662055,597.5,Transportation,World
41,Collimator,e+,4.28574,-15.9764,7.46768,-575,Transportation,World
41,BremsTarget,gamma,0.510999,-24.6966,-24.3522,-745.625,Transportation,World
mator,gamma,0.697953,-17.7717,-43.5448,-575,Transportation,World
